toi,tid,tfopwg_disp,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim
1084.01,380589029,KP,1.3484961,0.0000006,-0.0000006,0
1085.01,381979901,APC,3.2541181,0.0000008,-0.0000008,0
1086.01,468148930,PC,3.7178828,0.0000041,-0.0000041,0
1087.01,426077080,FP,9.3099200,0.0020900,-0.0020900,0
1088.01,343648136,FA,1.1539500,0.0001700,-0.0001700,0
1089.01,129319156,FP,4.7370300,0.0045300,-0.0045300,0
109.01,29344935,KP,2.7667600,0.0000025,-0.0000025,0
1090.01,361034196,FP,2.1929600,0.0003000,-0.0003000,0
1091.01,193413306,PC,1.7258410,0.0000165,-0.0000165,0
1092.01,387079085,FP,1.1923000,0.0000300,-0.0000300,0
1093.01,382331352,FP,11.4760600,0.0016200,-0.0016200,0
1094.01,136274063,APC,0.5971314,0.0000014,-0.0000014,0
1095.01,375223080,PC,1.4821386,0.0000014,-0.0000014,0
1096.01,375225453,FP,0.9209526,0.0001855,-0.0001855,0
1097.01,360630575,CP,9.1885060,0.0000288,-0.0000288,0
1097.02,360630575,CP,13.9028391,0.0013871,-0.0013871,0
1098.01,383390264,CP,10.1826983,0.0000129,-0.0000129,0
1099.01,290348383,CP,6.4410060,0.0000060,-0.0000060,0
110.01,281459670,KP,3.1743504,0.0000017,-0.0000017,0
1100.01,318608749,FP,20.0731588,0.0000861,-0.0000861,0
1101.01,271581073,FP,2.6690300,0.0000100,-0.0000100,0
1102.01,311890977,FP,6.6337100,0.0005900,-0.0005900,0
1103.01,351603103,PC,2.9430800,0.0000100,-0.0000100,0
1104.01,451599528,FP,341.2791676,0.0006751,-0.0006751,0
1105.01,274151135,PC,10.8680523,0.0000380,-0.0000380,0
1106.01,384513078,PC,11.1149000,0.0029500,-0.0029500,0
1107.01,394561119,CP,4.0782392,0.0000017,-0.0000017,0
1108.01,295599256,FP,7.1438600,0.0005400,-0.0005400,0
1109.01,50309953,FP,7.0408300,0.0000300,-0.0000300,0
111.01,355703913,KP,2.1061569,0.0000026,-0.0000026,0
1110.01,446549905,FP,2.4545635,0.0000010,-0.0000010,0
1111.01,412014494,FP,11.4756978,0.0000885,-0.0000885,0
1112.01,369864738,FP,2.7818600,0.0005000,-0.0005000,0
1113.01,290348382,FP,6.4410082,0.0000066,-0.0000066,0
1114.01,409934330,APC,2.4887726,0.0000014,-0.0000014,0
1115.01,379286801,APC,4.4519900,0.0003500,-0.0003500,0
1116.01,304100538,PC,5.0100708,0.0000135,-0.0000135,0
1117.01,295541511,PC,2.2281625,0.0000151,-0.0000151,0
1118.01,90919952,FP,4.1381200,0.0003600,-0.0003600,0
1119.01,261369656,APC,10.9566300,0.0020300,-0.0020300,0
112.01,388104525,KP,2.4997996,0.0000004,-0.0000004,0
1120.01,143257766,FP,1.6622600,,,0
1121.01,24094603,FP,4.0761100,0.0020000,-0.0020000,0
1122.01,304774444,FP,3.6245513,0.0000118,-0.0000118,0
1123.01,469782185,APC,1.2092800,0.0000200,-0.0000200,0
1124.01,128790976,APC,3.5187707,0.0000094,-0.0000094,0
1125.01,80166433,PC,0.7724825,0.0000068,-0.0000068,0
1126.01,405862830,FP,1.6268695,0.0000046,-0.0000046,0
1127.01,269450900,FP,2.3243900,0.0002100,-0.0002100,0
1128.01,425721385,FP,13.5499000,0.0056400,-0.0056400,0
1129.01,91576611,FP,4.4365100,0.0010100,-0.0010100,0
113.01,97409519,KP,3.3728770,0.0001470,-0.0001470,0
1130.01,254113311,CP,8.3499800,0.0000100,-0.0000100,0
1130.02,254113311,CP,4.0686405,0.0002958,-0.0002958,0
1131.01,198213332,PC,0.5860366,0.0000049,-0.0000049,0
1132.01,267489265,FP,1.5502952,0.0000046,-0.0000046,0
1133.01,69997672,FP,1.8070900,0.0012300,-0.0012300,0
1134.01,122220263,FP,18.6922101,0.0001259,-0.0001259,0
1135.01,154872375,CP,8.0277326,0.0000013,-0.0000013,0
1136.01,142276270,CP,12.5187279,0.0000316,-0.0000316,0
1136.02,142276270,CP,6.2586065,0.0000103,-0.0000103,0
1136.03,142276270,CP,26.3208756,0.0001272,-0.0001272,0
1136.04,142276270,CP,18.7955470,0.0001037,-0.0001037,0
1137.01,89389197,PC,1.3206356,0.0001541,-0.0001541,0
1138.01,110428269,FP,0.6497100,0.0001800,-0.0001800,0
1139.01,202563254,PC,4.4780798,0.0000257,-0.0000257,0
114.01,25155310,KP,3.2887898,0.0000003,-0.0000003,0
1140.01,320525204,FP,13.7431084,0.0000018,-0.0000018,0
1141.01,159510109,FP,16.9487087,0.0000006,-0.0000006,0
1142.01,284450803,FP,3.3686634,0.0000219,-0.0000219,0
1143.01,160268701,FP,11.2071839,0.0000286,-0.0000286,0
